category,category_description,item_name,item_description,price,size1,price1,size2,price2,size3,price3,size4,price4
Pollo,Groups of 8 or more: one check please.,Chicken Tortilla Soup,"Tender chicken breast, rice, pico de gallo, avocado and tortilla strips in a rich chicken broth.",$8.50,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Arroz Con Pollo,Grilled chicken strips topped with cheese dip and ranchero sauce. Served with rice and salad.,$16,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Pollo Asado,"Grilled chicken breast topped with cheese dip and ranchero sauce. Served with rice, salad and pico de gallo.",$16,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Maria's Chicken Special,"Grilled chicken breast with steam broccoli, squash, zucchini and cheese dip. Served with rice and your choice of refried or black beans.",$17,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Pollo Ranchero,"Grilled chicken breast topped with grilled mushrooms, onions and cheese dip. Served with rice and choice of refried or black beans.",$17,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Pollo a la Crema,"Grilled chicken strips cooked with bell pepper and topped with our special creamy sauce. Served with rice, salad and pico de gallo.",$16,,,,,,,,
Pollo,Groups of 8 or more: one check please.,Pollo Fundido,"Two flour fried tortilla with shredded chicken topped with cheese ranchero sauce. Served with rice, refried or black beans and salad.",$15,,,,,,,,
Mariscos,,Mojarra Frita,A whole tilapia fish fried to perfection. Served with rice salad.,$18,,,,,,,,
Mariscos,,Add for Mojarra Frita,Diabla shrimp or mojo de ajo shrimp.,$8.00,,,,,,,,
Mariscos,,Camarones Al Mojo,Grilled shrimp cooked with our garlic creamy sauce served with rice and salad.,$17.50,,,,,,,,
Mariscos,,Camarones Mexicanos,"Shrimp cooked with jalapeños peppers, onions, tomatoes, rice and beans, refried or black beans.",$18,,,,,,,,
Mariscos,,Playa del Carmen,"Grilled tilapia and shrimp, topped with our creamy crab seafood sauce, served with rice and salad.",$19,,,,,,,,
Mariscos,,Camarones a la Diabla,Grilled shrimp cooked with our Diabla sauce served with rice and salad.,$17.50,,,,,,,,
Mariscos,,Maria's Shrimp Special,Grilled shrimp in butter pico de gallo and creamy ranchero sauce. Served with rice and salad.,$18,,,,,,,,
Mariscos,,Coctel de Camaron,"Boiled shrimp mix with pico de gallo, avocado and special tomato sauce.",$17.50,,,,,,,,
Mariscos,,Seafood Chimichanga,"Large rolled flour tortilla, fried or soft, filled with shrimp and crabmeat, covered with crab creamy sauce, served with rice and salad.",$18,,,,,,,,
Mariscos,,Spicy Plate,"Items marked spicy on the menu: Steak Mexicano, Chile Colorado, Camarones a la Diabla.",,,,,,,,,
Mariscos,,Notice,"Cooked to order. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness.",,,,,,,,,
Especiales,,Maria's Bowl,"A bowl filled with rice, lettuce, roasted corn, black beans, guacamole, and your choice of meat, topped with pico de gallo, sour cream and shredded cheese.",,Veggie,$13,Chicken,$14,Steak,$15,Shrimp,$16
Especiales,,Fried Chimichanga,"Two flour tortilla fried or soft filled with shredded beef or chicken topped with cheese dip, ranchero sauce and your choice of refried or black beans and salad.",$15,,,,,,,,
Especiales,,Flautas,"Shredded chicken tinga 2, and shredded beef 2, topped with salsa verde, crema, pickled onions, queso Cotija, rice and beans.",$15,,,,,,,,
Especiales,,Special Rice,"A bed of rice cooked with bell pepper, topped with cheese dip and choice of meat.",,Chicken,$16,Steak,$17,Shrimp,$18,,
Especiales,,Carne & Camaron,"Grilled rib-eye steak with shrimp, onions and mushrooms. Served with rice, and your choice of refried beans or black beans.",$21,,,,,,,,
Especiales,,Quesabiria,"Two grilled corn tortillas stuffed with cheese and our famous tender beef brisket cooked in Mexican spices, served with a side of its own beef broth, lime, cilantro, onions, and salsa.",$16,,,,,,,,
Especiales,,Pizzabirria,"Two flour tortillas stuffed with cheese and our famous Adobo marinated shredded beef cooked in birria sauce, cilantro and onions. Served with beef consomé for dipping and tomatillo sauce.",$18,,,,,,,,
Especiales,,Ramen Soup Birria,"Birria consomé, ramen noodle, chunks of tender birria, topped with onions, cilantro and cheese quesadilla for dipping.",$15,,,,,,,,
Especiales,,Pollo Con Camarón,Grilled chicken breast and shrimp cooked with pico de gallo. Served with rice and mixed vegetables.,$17,,,,,,,,
Especiales,,Pollo Con Chorizo,Grilled chicken strips with Mexican sausage. Topped with cheese dip and served with chicken enchilada and rice.,$16,,,,,,,,
Especiales,,"Molcajete Cielo, Mar y Tierra","For two people. Chargrilled carne asada, Mexican sausage, chicken, and cactus, topped with an order of camarones al mojo, mozzarella cheese, green tomatillo sauce, cambray onions, avocado slices, chiles toreados fried green jalapeños peppers, tortillas and slices of queso fresco. Served with rice, refried or black beans and salad.",$40,,,,,,,,
Create Your Own Combo,,Combo Dinner,"Served with two items, rice and your choice of black or refried beans. *Chile Poblano stuffed with cheese only. Choose From: Burrito | Enchilada | Taco | Chalupa | Tostada | Quesadilla | Tostaguac | Chile Poblano (Cheese Only). Fillings: Ground or Shredded Beef | Birria | Shredded Chicken Tinga | Beans and Cheese.",$13.75,,,,,,,,
Create Your Own Combo,,Veggie Dinner,*Chile Poblano stuffed with cheese only. Choose From: Burrito | Enchilada | Taco | Chalupa | Quesadilla | Chile Poblano (Cheese Only). Fillings: Beans | Cheese | Mushrooms | Spinach.,$12.75,,,,,,,,
Desserts,,Sopapilla with Ice Cream,"Fried flour tortilla, honey, butter and cinnamon.",$6.50,,,,,,,,
Desserts,,Flan,Homemade Mexican custard.,$7.50,,,,,,,,
Desserts,,Churros with Ice Cream,"Fried twisted dough with sugar, cinnamon, honey, chocolate sauce and whipped cream.",$8.50,,,,,,,,
Desserts,,Fried Ice Cream,"Scoop of vanilla ice cream deep-fried. Topped with honey, chocolate sauce and whipped cream.",$7.50,,,,,,,,
Sodas,,Sodas,Coke | Diet Coke | Coke Zero | Sprite | Mr Pibb | Orange Fanta | Ginger Ale | Lemonade | Iced Tea | Milk | OJ,$3,,,,,,,,
Sodas,,Specialty Drinks,Horchata | Jamaica | Jarritos,$4,,,,,,,,
Kids,Includes children 10 and under with the option to pick one main item and one side. $8,Kids Main Items,Cheeseburger | Chicken Nuggets | Cheese Nachos | Mac & Cheese | Pizza | Taco | Cheese Quesadilla | Burrito | Enchilada,,,,,,,,,
Kids,Includes children 10 and under with the option to pick one main item and one side. $8,Kids Sides,Rice | Beans | Fries | Broccoli | Side of Fruit,,,,,,,,,
